Week End,Week End Last Year,Region,Crude Volumes For The Week,Percent Of Capacity,4 Week Average,4 Week Average Last Year,YTD Average,YTD Average Last Year,Unit
01/09/1990,01/02/1990,Ontario,81.31,78.71,82.34,83.36,82.34,83.36,thousand cubic metres per day
01/09/1990,01/02/1990,Quebec & Eastern Canada,85.75,94.13,85.9,86.05,85.9,86.05,thousand cubic metres per day
01/09/1990,01/02/1990,Western Canada,64.96,76.78,64.37,63.77,64.37,63.77,thousand cubic metres per day
01/16/1990,01/02/1990,Ontario,82.34,79.71,82.34,83.36,82.34,83.36,thousand cubic metres per day
01/16/1990,01/02/1990,Quebec & Eastern Canada,91.85,100.82,87.88,86.05,87.88,86.05,thousand cubic metres per day
01/16/1990,01/02/1990,Western Canada,65.24,77.12,64.66,63.77,64.66,63.77,thousand cubic metres per day
01/23/1990,01/02/1990,Ontario,81.77,79.16,82.2,83.36,82.2,83.36,thousand cubic metres per day
01/23/1990,01/02/1990,Quebec & Eastern Canada,92.47,101.5,89.03,86.05,89.03,86.05,thousand cubic metres per day
01/23/1990,01/02/1990,Western Canada,66.67,78.81,65.16,63.77,65.16,63.77,thousand cubic metres per day
01/30/1990,01/02/1990,Ontario,84.75,82.04,82.55,83.36,82.71,83.36,thousand cubic metres per day
01/30/1990,01/02/1990,Quebec & Eastern Canada,86.68,95.15,89.19,86.05,88.56,86.05,thousand cubic metres per day
01/30/1990,01/02/1990,Western Canada,66.45,78.55,65.83,63.77,65.42,63.77,thousand cubic metres per day
02/06/1990,01/02/1990,Ontario,85.03,82.31,83.48,83.36,83.09,83.36,thousand cubic metres per day
02/06/1990,01/02/1990,Quebec & Eastern Canada,81.07,88.99,88.02,86.05,87.31,86.05,thousand cubic metres per day
02/06/1990,01/02/1990,Western Canada,66.71,78.85,66.27,63.77,65.63,63.77,thousand cubic metres per day
02/13/1990,01/02/1990,Ontario,81.83,79.22,83.35,83.36,82.91,83.36,thousand cubic metres per day
02/13/1990,01/02/1990,Quebec & Eastern Canada,81.21,89.14,85.36,86.05,86.44,86.05,thousand cubic metres per day
02/13/1990,01/02/1990,Western Canada,67.34,79.6,66.8,63.77,65.88,63.77,thousand cubic metres per day
